phi,theta,xValue,yValue,zValue,FILE
44,30,499,832,499,images/363.jpg
44,90,499,166,499,images/364.jpg
44,90,499,499,499,images/365.jpg
44,90,499,832,499,images/366.jpg
44,150,499,166,499,images/367.jpg
44,150,499,499,499,images/368.jpg
44,150,499,832,499,images/369.jpg
44,30,499,166,832,images/370.jpg
44,30,499,499,832,images/371.jpg
44,30,499,832,832,images/372.jpg
44,90,499,166,832,images/373.jpg
44,90,499,499,832,images/374.jpg
44,90,499,832,832,images/375.jpg
44,150,499,166,832,images/376.jpg
44,150,499,499,832,images/377.jpg
44,150,499,832,832,images/378.jpg
44,30,832,166,166,images/379.jpg
44,30,832,499,166,images/380.jpg
44,30,832,832,166,images/381.jpg
44,90,832,166,166,images/382.jpg
44,90,832,499,166,images/383.jpg
44,90,832,832,166,images/384.jpg
44,150,832,166,166,images/385.jpg
44,150,832,499,166,images/386.jpg
44,150,832,832,166,images/387.jpg
44,30,832,166,499,images/388.jpg
44,30,832,499,499,images/389.jpg
44,30,832,832,499,images/390.jpg
44,90,832,166,499,images/391.jpg
44,90,832,499,499,images/392.jpg
44,90,832,832,499,images/393.jpg
44,150,832,166,499,images/394.jpg
44,150,832,499,499,images/395.jpg
44,150,832,832,499,images/396.jpg
44,30,832,166,832,images/397.jpg
44,30,832,499,832,images/398.jpg
44,30,832,832,832,images/399.jpg
44,90,832,166,832,images/400.jpg
44,90,832,499,832,images/401.jpg
44,90,832,832,832,images/402.jpg
44,150,832,166,832,images/403.jpg
44,150,832,499,832,images/404.jpg
44,150,832,832,832,images/405.jpg
55,30,166,166,166,images/406.jpg
55,30,166,499,166,images/407.jpg
55,30,166,832,166,images/408.jpg
55,90,166,166,166,images/409.jpg
55,90,166,499,166,images/410.jpg
55,90,166,832,166,images/411.jpg
55,150,166,166,166,images/412.jpg
55,150,166,499,166,images/413.jpg
55,150,166,832,166,images/414.jpg
55,30,166,166,499,images/415.jpg
55,30,166,499,499,images/416.jpg
55,30,166,832,499,images/417.jpg
55,90,166,166,499,images/418.jpg
55,90,166,499,499,images/419.jpg
55,90,166,832,499,images/420.jpg
55,150,166,166,499,images/421.jpg
55,150,166,499,499,images/422.jpg
55,150,166,832,499,images/423.jpg
55,30,166,166,832,images/424.jpg
55,30,166,499,832,images/425.jpg
55,30,166,832,832,images/426.jpg
55,90,166,166,832,images/427.jpg
55,90,166,499,832,images/428.jpg
55,90,166,832,832,images/429.jpg
55,150,166,166,832,images/430.jpg
55,150,166,499,832,images/431.jpg
55,150,166,832,832,images/432.jpg
55,30,499,166,166,images/433.jpg
55,30,499,499,166,images/434.jpg
55,30,499,832,166,images/435.jpg
55,90,499,166,166,images/436.jpg
55,90,499,499,166,images/437.jpg
55,90,499,832,166,images/438.jpg
55,150,499,166,166,images/439.jpg
55,150,499,499,166,images/440.jpg
55,150,499,832,166,images/441.jpg
55,30,499,166,499,images/442.jpg
55,30,499,499,499,images/443.jpg
55,30,499,832,499,images/444.jpg
55,90,499,166,499,images/445.jpg
55,90,499,499,499,images/446.jpg
55,90,499,832,499,images/447.jpg
55,150,499,166,499,images/448.jpg
55,150,499,499,499,images/449.jpg
55,150,499,832,499,images/450.jpg
55,30,499,166,832,images/451.jpg
55,30,499,499,832,images/452.jpg
55,30,499,832,832,images/453.jpg
55,90,499,166,832,images/454.jpg
55,90,499,499,832,images/455.jpg
55,90,499,832,832,images/456.jpg
55,150,499,166,832,images/457.jpg
55,150,499,499,832,images/458.jpg
55,150,499,832,832,images/459.jpg
55,30,832,166,166,images/460.jpg
55,30,832,499,166,images/461.jpg
55,30,832,832,166,images/462.jpg
55,90,832,166,166,images/463.jpg
55,90,832,499,166,images/464.jpg
55,90,832,832,166,images/465.jpg
55,150,832,166,166,images/466.jpg
55,150,832,499,166,images/467.jpg
55,150,832,832,166,images/468.jpg
55,30,832,166,499,images/469.jpg
55,30,832,499,499,images/470.jpg
55,30,832,832,499,images/471.jpg
55,90,832,166,499,images/472.jpg
55,90,832,499,499,images/473.jpg
55,90,832,832,499,images/474.jpg
55,150,832,166,499,images/475.jpg
55,150,832,499,499,images/476.jpg
55,150,832,832,499,images/477.jpg
55,30,832,166,832,images/478.jpg
55,30,832,499,832,images/479.jpg
55,30,832,832,832,images/480.jpg
55,90,832,166,832,images/481.jpg
55,90,832,499,832,images/482.jpg
55,90,832,832,832,images/483.jpg
55,150,832,166,832,images/484.jpg
55,150,832,499,832,images/485.jpg
55,150,832,832,832,images/486.jpg
66,30,166,166,166,images/487.jpg
66,30,166,499,166,images/488.jpg
66,30,166,832,166,images/489.jpg
66,90,166,166,166,images/490.jpg
66,90,166,499,166,images/491.jpg
66,90,166,832,166,images/492.jpg
66,150,166,166,166,images/493.jpg
66,150,166,499,166,images/494.jpg
66,150,166,832,166,images/495.jpg
66,30,166,166,499,images/496.jpg
66,30,166,499,499,images/497.jpg
66,30,166,832,499,images/498.jpg
66,90,166,166,499,images/499.jpg
